timestamp,person,bicycle,car,motorcycle,bus,truck,total_vehicles
2017-09-11 07:08:00,3,0,491,0,4,3,501
2017-09-11 07:09:00,1,0,166,0,5,3,175
2017-09-11 07:10:00,0,0,118,0,0,3,121
2017-09-11 07:11:00,1,0,279,0,2,5,287
2017-09-11 07:12:00,0,0,543,0,7,3,553
2017-09-11 07:13:00,2,0,386,0,7,4,399
2017-09-11 07:14:00,0,0,522,0,4,6,532
2017-09-11 07:15:00,29,0,192,0,0,1,222
2017-09-11 07:16:00,1,0,130,0,1,0,132
2017-09-11 07:17:00,1,0,209,0,6,6,222
2017-09-11 07:18:00,2,0,126,0,0,0,128
2017-09-11 07:19:00,0,0,320,0,8,4,332
2017-09-11 07:20:00,1,0,186,0,12,0,199
2017-09-11 07:21:00,2,0,210,0,7,0,219
2017-09-11 07:22:00,0,0,182,0,1,2,185
2017-09-11 07:23:00,0,0,99,0,1,1,101
2017-09-11 07:24:00,0,0,119,0,8,5,132
2017-09-11 07:25:00,0,0,183,0,0,1,184
2017-09-11 07:26:00,0,0,158,0,2,1,161
2017-09-11 07:27:00,2,0,90,0,2,0,94
2017-09-11 07:28:00,0,0,182,0,5,2,189
2017-09-11 07:29:00,1,0,244,0,2,0,247
2017-09-11 07:30:00,2,0,169,0,1,2,174
2017-09-11 07:31:00,12,0,192,0,0,0,204
2017-09-11 07:32:00,6,0,147,0,3,1,157
2017-09-11 07:33:00,2,0,168,0,2,1,173
2017-09-11 07:34:00,9,0,147,0,12,0,168
2017-09-11 07:35:00,0,0,276,0,3,0,279
2017-09-11 07:36:00,3,0,158,1,1,0,163
2017-09-11 07:37:00,0,0,264,0,6,2,272
2017-09-11 07:38:00,1,0,245,0,4,0,250
2017-09-11 07:39:00,4,0,164,0,7,3,178
2017-09-11 07:40:00,0,0,294,0,2,1,297
2017-09-11 07:41:00,1,0,385,0,9,1,396
2017-09-11 07:42:00,1,0,445,0,3,1,450
2017-09-11 07:43:00,1,0,585,0,5,3,594
2017-09-11 07:44:00,0,0,490,0,0,0,490
2017-09-11 07:45:00,2,0,328,0,6,0,336
2017-09-11 07:46:00,0,0,486,0,4,2,492
2017-09-11 07:47:00,0,0,819,0,5,2,826
2017-09-11 07:48:00,0,0,546,0,7,3,556
2017-09-11 07:49:00,0,0,644,0,5,7,656
2017-09-11 07:50:00,0,0,418,0,0,3,421
2017-09-11 07:51:00,0,0,582,0,0,0,582
2017-09-11 07:52:00,1,0,503,0,0,1,505
2017-09-11 07:53:00,0,0,617,0,11,7,635
2017-09-11 07:54:00,1,0,745,0,7,3,756
2017-09-11 07:55:00,7,0,534,0,3,5,549
2017-09-11 07:56:00,5,0,595,0,2,1,603
2017-09-11 07:57:00,2,0,297,0,3,1,303
2017-09-11 07:58:00,0,0,608,0,1,0,609
